feed,url,title,summary,published_at,fetched_at
espn-nba,https://www.espn.com/nba/story/_/id/49579127/cooper-flagg-one-one-rookie-card-found-rhode-island,Flagg's prized 1-of-1 card found in Rhode Island,Cooper Flagg's coveted one-of-one numbered rookie debut patch autograph card was found in Rhode Island on Monday night.,2026-08-11T04:14:00+00:00,2026-08-11T04:00:03.807512+00:00
espn-nba,https://www.espn.com/nba/story/_/id/49576700/panathinaikos-made-jokic-serious-offer-try-again-27,Greek team pursuing Jokic; made 'serious' offer,"The owner of Panathinaikos Basketball Club in Athens, Greece, says he tried to buy Nikola Jokic out of his NBA contract for next season and believes he can sign the three-time MVP when he becomes a free agent next summer.",2026-08-11T04:51:38+00:00,2026-08-11T04:00:03.807512+00:00
espn-nba,https://www.espn.com/nba/story/_/id/49568985/don-nelson-second-winningest-coach-nba-history-dies-86,"Nelson, second-winningest NBA coach, dies at 86","Don Nelson, the second-winningest coach in NBA history and a five-time champion as a player, died at the age of 86 on Sunday.",2026-08-11T04:14:00+00:00,2026-08-11T04:00:03.807512+00:00
espn-nba,https://www.espn.com/olympics/basketball/story/_/id/49572286/ben-simmons-participate-minicamp-australia-men-basketball-team,"Simmons to join Australia minicamp, eyeing NBA","Free agent forward Ben Simmons is expected to be a full participant with ""zero restrictions"" at a player-led private minicamp for the Australian men's basketball team in Melbourne, a source told ESPN Andscape.",2026-08-11T04:13:59+00:00,2026-08-11T04:00:03.807512+00:00
espn-nba,https://www.espn.com/nba/story/_/id/49563665/tyler-herro-focused-winning-bucks-not-contract-status,"Herro focused on winning with Bucks, not contract","Bucks guard Tyler Herro said Saturday he isn't dwelling on his contract status as he hopes to help Milwaukee ""win as many games as possible"" next season.",2026-08-11T04:14:00+00:00,2026-08-11T04:00:03.807512+00:00
espn-nba,https://www.espn.com/nba/story/_/id/49555855/coroner-finds-grizzlies-brandon-clarke-died-effects-cocaine-heroin,Coroner: Grizzlies' Clarke died from drug mixture,"Grizzlies forward Brandon Clarke died from ""the effects of heroin and cocaine,"" the Los Angeles County medical examiner's office announced.",2026-08-11T04:13:59+00:00,2026-08-11T04:00:03.807512+00:00
espn-nba,https://www.espn.com/nba/story/_/id/49522331/nba-free-agency-2027-preview-bobby-marks-stars-teams-salary-cap-extension-decisions,🏀 Marks: 10 questions for summer of 2027,Golden State's franchise-altering 2027 offseason is just one of the storylines our resident GM is watching closely.,2026-08-11T04:14:00+00:00,2026-08-11T04:00:03.807512+00:00
yahoo-nba,https://sports.yahoo.com/articles/scouting-report-lakers-fans-expect-003219238.html,Scouting Report: What should Lakers fans expect from Walker Kessler?,The Lakers made a big swing for Walker Kessler. But what type of player are they getting?,2026-08-11T00:32:19+00:00,2026-08-11T04:00:03.807512+00:00
__poll__,poll://2026-08-11/2026-08-11T04:00:03.807512+00:00,"poll ran: 2/3 feeds reachable, 31 item(s) appended",,2026-08-11,2026-08-11T04:00:03.807512+00:00
yahoo-nba,https://sports.yahoo.com/articles/76ers-star-lebron-james-catches-001219770.html,76ers star LeBron James catches a stray from Hilary Duff,"Hilary Duff teased LeBron James over his frequent team-jumping at a Philadelphia concert, following James&#39; recent move to the 76ers.",2026-08-11T00:12:19+00:00,2026-08-11T04:39:51.786281+00:00
