feed,url,title,summary,published_at,fetched_at
espn-nba,https://www.espn.com/nba/story/_/id/49514965/sources-mavs-extend-naji-marshall-3-year-522m-deal,"Sources: Mavs' Marshall re-ups for 3 years, $52M","Mavericks forward Naji Marshall signed a three-year, $52.2 million extension that will take him through the 2029-30 season, sources told ESPN.",2026-08-03T00:00:38+00:00,2026-08-03T00:53:10.335534+00:00
espn-nba,https://www.espn.com/nba/story/_/id/49507136/kevin-durant-compares-76ers-star-power-warriors-teams,KD compares 76ers' star power to his Warriors,Kevin Durant compared the new-look 76ers to his Warriors teams in terms of offensive firepower after Philly added LeBron James in free agency.,2026-08-03T00:00:38+00:00,2026-08-03T00:53:10.335534+00:00
espn-nba,https://www.espn.com/nba/story/_/id/49507452/thunder-departures-part-business-game,Holmgren: OKC's departures were like losing family,"Oklahoma City's Chet Holmgren told reporters Saturday afternoon that the departures of three contributors to the Thunder's 2025 championship team felt ""like losing a family member,"" but at the same time, ""that's how the business of this game goes.""",2026-08-03T00:00:38+00:00,2026-08-03T00:53:10.335534+00:00
espn-nba,https://www.espn.com/nba/story/_/id/49507200/sources-warriors-bring-back-gary-payton-ii-vet-minimum,Sources: Payton back to Dubs on vet minimum,"The Warriors are bringing back forward Gary Payton II on a one-year, $3.9 million veteran minimum deal, sources said.",2026-08-03T00:00:38+00:00,2026-08-03T00:53:10.335534+00:00
espn-nba,https://www.espn.com/nba/story/_/id/49497562/sources-wembanyama-lands-signature-shoe-line-nike-deal,Sources: Wemby lands signature shoe in Nike deal,"Spurs star Victor Wembanyama signed a new, long-term deal with Nike that includes a signature sneaker, sources told ESPN's Shams Charania.",2026-08-03T00:00:38+00:00,2026-08-03T00:53:10.335534+00:00
espn-nba,https://www.espn.com/nba/story/_/id/49496738/terry-rozier-attorney-dismiss-text-deniro-laster,Attorneys clash over text meaning in Rozier case,Terry Rozier's attorney argued in a court filing Friday that a text sent by a co-defendant shows the NBA veteran did not know about the alleged gambling scheme for which he has been indicted.,2026-08-03T00:00:38+00:00,2026-08-03T00:53:10.335534+00:00
espn-nba,https://www.espn.com/nba/story/_/id/49514411/donovan-mitchell-cleveland-cavaliers-coco-jones-wedding,💍 Donovan Mitchell and Coco Jones tie knot,"Mitchell and Jones shared their first dance to Musiq Soulchild's 2000 hit song ""Love,"" as seen in a video posted by agent Troy Payne on Instagram.",2026-08-03T00:00:38+00:00,2026-08-03T00:53:10.335534+00:00
__poll__,poll://2026-08-03/2026-08-03T00:53:10.335534+00:00,"poll ran: 2/3 feeds reachable, 14 item(s) appended",,2026-08-03,2026-08-03T00:53:10.335534+00:00
yahoo-nba,https://sports.yahoo.com/articles/kalshi-next-team-market-settle-183300389.html,How Kalshi’s Next Team Market Will Settle If Kawhi Leonard’s Raptors Trade Is Revoked,An inside look at Kalshi settlement rules for Kawhi Leonard’s next team market amid the ongoing NBA salary cap investigation into the Clippers.,2026-08-03T00:26:00+00:00,2026-08-03T04:00:00.478429+00:00
__poll__,poll://2026-08-03/2026-08-03T04:00:00.478429+00:00,"poll ran: 2/3 feeds reachable, 1 item(s) appended",,2026-08-03,2026-08-03T04:00:00.478429+00:00
