feed,url,title,summary,published_at,fetched_at
yahoo-nba,https://sports.yahoo.com/nba/article/kawhi-leonard-allegedly-had-another-multimillion-dollar-sponsorship-deal-with-clippers-scoreboard-manufacturer-per-report-035505662.html,"Kawhi Leonard allegedly had another multimillion-dollar &#39;sponsorship&#39; deal with Clippers&#39; scoreboard manufacturer, per report",Kawhi Leonard and the Clippers have been under investigation over a similar deal with defunct sustainability company Aspiration.,2026-08-07T03:55:05+00:00,2026-08-07T05:02:35.530738+00:00
yahoo-nba,https://sports.yahoo.com/articles/chris-finch-explains-why-minnesota-014416298.html,Chris Finch explains why Minnesota felt it needed LaMelo Ball to unlock Anthony Edwards,Edwards can return to a more natural role working off the ball now.,2026-08-07T01:44:16+00:00,2026-08-07T05:02:35.530738+00:00
yahoo-nba,https://sports.yahoo.com/articles/spurs-luke-kornet-develop-floater-012513802.html,The Spurs need Luke Kornet to develop a floater to be a playoff contributor,"Kornet’s athletic limitations and age limit his upside on defense, but he could still become more versatile on offense.",2026-08-07T01:25:13+00:00,2026-08-07T05:02:35.530738+00:00
yahoo-nba,https://sports.yahoo.com/articles/mavericks-place-massive-bounty-secure-002925213.html,Mavericks place massive bounty to secure Cooper Flagg’s one-of-a-kind Topps NBA Debut Patch card,The Mavericks are going to great lengths to flag down a one-of-a-kind trading card of their budding superstar.,2026-08-07T00:29:25+00:00,2026-08-07T05:02:35.530738+00:00
yahoo-nba,https://sports.yahoo.com/articles/takeaways-jaylen-brown-introductory-press-001447193.html,Takeaways from Jaylen Brown’s introductory press conference,The biggest notes and quotes from Jaylen Brown’s first Sixers press conference.,2026-08-07T00:14:47+00:00,2026-08-07T05:02:35.530738+00:00
yahoo-nba,https://sports.yahoo.com/articles/peyton-watson-rumour-round-000118785.html,Peyton Watson rumour round-up,Tidbits continue to emerge about Peyton Watson and the Bucks. Here they are in one convenient location.,2026-08-07T00:01:18+00:00,2026-08-07T05:02:35.530738+00:00
yahoo-nba,https://sports.yahoo.com/videos/luke-kuechly-shares-coolest-part-200404477.html,,,2026-08-07T04:59:40+00:00,2026-08-07T05:02:35.530738+00:00
__poll__,poll://2026-08-07/2026-08-07T05:02:35.530738+00:00,"poll ran: 1/3 feeds reachable, 33 item(s) appended",,2026-08-07,2026-08-07T05:02:35.530738+00:00
feed,url,title,summary,published_at,fetched_at
espn-nba,https://www.espn.com/nba/story/_/id/49550010/report-leonard-had-undisclosed-sponsorship-deal-daktronics,"Report: Kawhi, Daktronics had undisclosed deal","Kawhi Leonard had an undisclosed sponsorship agreement allegedly worth millions of dollars with the company that designed the Clippers' videoboard, Pablo Torre reported on his podcast Thursday.",2026-08-07T04:33:45+00:00,2026-08-07T04:00:02.879021+00:00
espn-nba,https://www.espn.com/nba/story/_/id/49547709/jaylen-brown-says-trade-sixers-crazy-transition,Brown: Trade to Sixers has been 'crazy transition',"Jaylen Brown said he was disappointed with the Celtics' communication with him before he was traded to the Sixers, but his focus now is on winning and fitting in with his new team.",2026-08-07T04:33:45+00:00,2026-08-07T04:00:02.879021+00:00
espn-nba,https://www.espn.com/nba/story/_/id/49548223/76ers-mike-gansey-says-joel-embiid-healthy-extra-motivated,"Sixers president: Embiid healthy, 'extra motivated'","Joel Embiid is healthy and ""extra motivated"" with LeBron James and Jaylen Brown now on his side, according to 76ers president of basketball operations Mike Gansey.",2026-08-07T04:33:45+00:00,2026-08-07T04:00:02.879021+00:00
espn-nba,https://www.espn.com/nba/story/_/id/49547027/sources-anthony-davis-wizards-table-contract-talks-season-starts,"Sources: Wiz, AD table talks until season starts","The Wizards and Anthony Davis' agent, Rich Paul, have decided to wait on talks for a potential extension until after the season starts, sources told ESPN.",2026-08-07T04:33:45+00:00,2026-08-07T04:00:02.879021+00:00
espn-nba,https://www.espn.com/nba/story/_/id/49541747/suns-keeping-dillon-brooks-73m-extension-2029-30,"Suns keeping Brooks on 3-year, $73M extension","Suns forward Dillon Brooks agreed to a three-year, $73 million contract extension through the 2029-30 season, his agent told ESPN.",2026-08-07T04:33:45+00:00,2026-08-07T04:00:02.879021+00:00
espn-nba,https://www.espn.com/nba/story/_/id/49547478/nba-slam-dunk-contest-champ-mac-mcclung-signs-spanish-team,3-time dunk champ McClung joins Spanish team,"Three-time NBA slam dunk contest champion Mac McClung has signed with Basquet Girona, a Spanish team owned by three-time NBA All-Star Marc Gasol.",2026-08-07T04:33:45+00:00,2026-08-07T04:00:02.879021+00:00
espn-nba,https://www.espn.com/nba/story/_/id/49522331/nba-free-agency-2027-preview-bobby-marks-stars-teams-salary-cap-extension-decisions,🏀 Marks: 10 questions for summer of 2027,Golden State's franchise-altering 2027 offseason is just one of the storylines our resident GM is watching closely.,2026-08-07T04:33:45+00:00,2026-08-07T04:00:02.879021+00:00
yahoo-nba,https://sports.yahoo.com/nba/article/kawhi-leonard-allegedly-had-another-multi-million-dollar-sponsorship-deal-with-clippers-scoreboard-manufacturer-per-report-035505662.html,"Kawhi Leonard allegedly had another multi-million-dollar &#39;sponsorship&#39; deal with Clippers&#39; scoreboard manufacturer, per report",Kawhi Leonard and the Clippers have been under investigation over a similar deal with defunct sustainability company Aspiration.,2026-08-07T03:55:05+00:00,2026-08-07T04:00:02.879021+00:00
yahoo-nba,https://sports.yahoo.com/articles/chris-finch-explains-why-minnesota-014416298.html,Chris Finch explains why Minnesota felt it needed LaMelo Ball to unlock Anthony Edwards,Edwards can return to a more natural role working off the ball now.,2026-08-07T01:44:16+00:00,2026-08-07T04:00:02.879021+00:00
yahoo-nba,https://sports.yahoo.com/articles/spurs-luke-kornet-develop-floater-012513802.html,The Spurs need Luke Kornet to develop a floater to be a playoff contributor,"Kornet’s athletic limitations and age limit his upside on defense, but he could still become more versatile on offense.",2026-08-07T01:25:13+00:00,2026-08-07T04:00:02.879021+00:00
